pair_id,order,verdict,lp_A,lp_B,lp_C,prompt_tokens,ms
p0161,orig,B,-5.0069,-0.0069,-10.0069,411,197
p0161,swap,A,-0.3880,-1.1380,-8.5130,411,183
p0168,orig,A,-0.0403,-3.6653,-4.2903,427,199
p0168,swap,B,-1.8095,-0.1845,-5.4345,427,186
p0170,orig,A,-0.5811,-0.8311,-5.3311,632,277
p0170,swap,A,-0.1514,-2.0264,-4.7764,632,272
p0171,orig,B,-2.9319,-0.0569,-9.1819,583,274
p0171,swap,A,-0.4306,-1.0556,-8.1806,583,263
p0174,orig,A,-0.2545,-1.5045,-6.5045,590,275
p0174,swap,A,-0.3142,-1.3142,-8.1892,590,263
p0178,orig,A,-0.0940,-2.4690,-5.3440,499,225
p0178,swap,A,-0.0824,-2.5824,-5.7074,499,214
p0182,orig,A,-0.1624,-1.9124,-6.2874,851,394
p0182,swap,A,-0.1641,-1.9141,-5.7891,851,384
p0186,orig,B,-0.9754,-0.4754,-7.6004,691,319
p0186,swap,A,-0.0330,-3.5330,-6.0330,691,307
p0187,orig,A,-0.3513,-1.2263,-6.6013,707,328
p0187,swap,A,-0.0513,-3.0513,-6.1763,707,316
p0188,orig,A,-0.1031,-2.3531,-6.1031,789,364
p0188,swap,A,-0.2841,-1.4091,-6.5341,789,355
p0189,orig,B,-0.8277,-0.5777,-6.9527,965,457
p0189,swap,A,-0.1170,-2.2420,-5.7420,965,453
p0190,orig,A,-0.1831,-1.8081,-6.1831,940,450
p0190,swap,A,-0.2040,-1.7040,-6.0790,940,442
p0191,orig,A,-0.0264,-3.9014,-5.1514,1459,749
p0191,swap,B,-1.5043,-0.2543,-6.2543,1459,727
p0192,orig,A,-0.2052,-1.7052,-6.0802,1034,504
p0192,swap,A,-0.1834,-1.8084,-5.6834,1034,486
p0193,orig,A,-0.0431,-3.2931,-5.2931,1553,782
p0193,swap,B,-0.7605,-0.6355,-6.0105,1553,769
p0194,orig,B,-2.5796,-0.0796,-8.4546,767,349
p0194,swap,A,-0.0291,-3.7791,-5.1541,767,343
p0195,orig,A,-0.1291,-2.1291,-6.2541,896,420
p0195,swap,A,-0.6951,-0.6951,-6.6951,896,402
p0196,orig,A,-0.0362,-3.4112,-6.0362,772,369
p0196,swap,B,-2.4646,-0.0896,-8.7146,772,352
p0203,orig,A,-0.5253,-0.9003,-6.4003,1058,498
p0203,swap,A,-0.1462,-2.0212,-5.7712,1058,486
p0205,orig,A,-0.0895,-2.4645,-8.0895,652,312
p0205,swap,A,-0.0445,-3.1695,-6.7945,652,294
p0208,orig,A,-0.1815,-1.8065,-6.6815,959,438
p0208,swap,A,-0.0725,-2.6975,-6.1975,959,431
p0209,orig,A,-0.0717,-2.6967,-6.5717,946,447
p0209,swap,A,-0.0708,-2.6958,-7.4458,946,433
p0214,orig,A,-0.1276,-2.1276,-7.8776,1023,473
p0214,swap,A,-0.1144,-2.2394,-6.7394,1023,461
p0215,orig,A,-0.5803,-0.8303,-5.5803,592,289
p0215,swap,A,-0.0585,-3.0585,-4.6835,592,269
p0219,orig,A,-0.1395,-2.2645,-4.2645,584,282
p0219,swap,A,-0.4480,-1.0730,-4.5730,584,263
p0221,orig,A,-0.7070,-0.7070,-4.3320,485,225
p0221,swap,A,-0.3982,-1.1482,-4.5232,485,208
p0223,orig,A,-0.0827,-2.5827,-5.5827,1427,685
p0223,swap,A,-0.1192,-2.3692,-3.9942,1427,679
p0226,orig,A,-0.1078,-2.3578,-5.1078,779,365
p0226,swap,A,-0.1669,-1.9169,-5.2919,779,349
p0228,orig,B,-2.0232,-0.1482,-5.2732,522,248
p0228,swap,A,-0.7216,-0.7216,-3.5966,522,232
p0229,orig,B,-1.3139,-0.3139,-8.4389,533,238
p0229,swap,B,-1.5026,-0.2526,-8.8776,533,233
p0232,orig,A,-0.4826,-0.9826,-5.7326,700,312
p0232,swap,A,-0.1709,-1.9209,-4.7959,700,301
p0233,orig,A,-0.4826,-0.9826,-5.7326,700,303
p0233,swap,A,-0.1709,-1.9209,-4.7959,700,301
p0240,orig,A,-0.1529,-2.0279,-5.1529,584,256
p0240,swap,A,-0.2589,-1.5089,-5.5089,584,253
p0244,orig,A,-0.1215,-2.2465,-5.4965,808,344
p0244,swap,B,-1.3189,-0.3189,-6.0689,808,339
p0247,orig,A,-0.2425,-1.6175,-4.1175,1251,563
p0247,swap,A,-0.5114,-1.0114,-3.3864,1251,555
p0248,orig,A,-0.0856,-2.7106,-4.2106,1384,651
p0248,swap,A,-0.6449,-0.7699,-4.5199,1384,663
p0249,orig,A,-0.1278,-2.2528,-4.2528,1295,636
p0249,swap,B,-0.8464,-0.5964,-4.0964,1295,607
p0250,orig,A,-0.3200,-1.3200,-5.0700,974,450
p0250,swap,A,-0.2648,-1.5148,-4.3898,974,423
p0253,orig,A,-0.6978,-0.6978,-5.5728,1304,598
p0253,swap,A,-0.0693,-2.8193,-4.9443,1304,583
p0259,orig,B,-2.1280,-0.1280,-7.8780,848,375
p0259,swap,A,-0.0495,-3.0495,-7.1745,848,360
p0276,orig,A,-0.3891,-1.1391,-6.3891,776,337
p0276,swap,A,-0.3898,-1.1398,-6.1398,776,325
p0277,orig,A,-0.0749,-2.6999,-5.3249,1368,621
p0277,swap,B,-1.8074,-0.1824,-6.1824,1368,620
p0278,orig,A,-0.5780,-0.8280,-6.5780,851,378
p0278,swap,A,-0.2282,-1.6032,-6.1032,851,364
p0281,orig,A,-0.0803,-2.7053,-4.5803,1251,550
p0281,swap,A,-0.4790,-0.9790,-5.3540,1251,551
p0284,orig,A,-0.0227,-4.1477,-5.0227,1492,745
p0284,swap,B,-0.9772,-0.4772,-5.8522,1492,675
p0285,orig,A,-0.1834,-1.8084,-5.6834,1044,462
p0285,swap,A,-0.2543,-1.5043,-6.1293,1044,451
p0286,orig,B,-1.2267,-0.3517,-5.8517,1531,747
p0286,swap,A,-0.0267,-4.0267,-4.7767,1531,739
p0295,orig,A,-0.0309,-3.6559,-5.4059,1409,687
p0295,swap,B,-1.6025,-0.2275,-7.1025,1409,680
p0296,orig,A,-0.0213,-4.0213,-5.7713,1598,940
p0296,swap,B,-2.5795,-0.0795,-7.8295,1598,788
p0300,orig,A,-0.3073,-1.4323,-3.6823,570,280
p0300,swap,B,-1.5046,-0.2546,-6.2546,570,256
p0302,orig,A,-0.1293,-2.1293,-6.2543,720,344
p0302,swap,A,-0.3895,-1.1395,-6.2645,720,325
p0304,orig,B,-2.3523,-0.1023,-7.4773,774,369
p0304,swap,A,-0.0168,-4.1418,-7.3918,774,348
p0305,orig,A,-0.0202,-4.1452,-5.5202,1560,761
p0305,swap,B,-2.3514,-0.1014,-7.4764,1560,750
p0306,orig,B,-1.8058,-0.1808,-7.3058,1648,856
p0306,swap,A,-0.0207,-4.1457,-5.3957,1648,795
p0314,orig,A,-0.1640,-1.9140,-5.6640,1329,671
p0314,swap,A,-0.0921,-2.4671,-5.8421,1329,629
p0318,orig,A,-0.0603,-2.9353,-5.3103,1391,676
p0318,swap,B,-1.4086,-0.2836,-7.5336,1391,665
p0319,orig,A,-0.2835,-1.4085,-6.5335,1751,1010
p0319,swap,A,-0.0508,-3.0508,-6.1758,1751,864
p0323,orig,B,-1.3171,-0.3171,-6.3171,748,358
p0323,swap,A,-0.0755,-2.7005,-5.3255,748,333
p0324,orig,A,-0.1299,-2.1299,-5.8799,907,439
p0324,swap,A,-0.2535,-1.5035,-6.6285,907,411
p0326,orig,B,-1.0558,-0.4308,-6.6808,793,397
p0326,swap,A,-0.1179,-2.2429,-5.3679,793,343
p0328,orig,A,-0.2283,-1.6033,-5.9783,857,394
p0328,swap,A,-0.1637,-1.9137,-5.7887,857,387
p0332,orig,A,-0.1023,-2.4773,-4.3523,655,319
p0332,swap,B,-1.5053,-0.2553,-5.8803,655,292
p0333,orig,A,-0.1332,-2.1332,-5.1332,602,370
p0333,swap,A,-0.3526,-1.2276,-5.6026,602,248
p0334,orig,B,-0.8301,-0.5801,-5.8301,644,297
p0334,swap,A,-0.1159,-2.2409,-5.8659,644,283
p0335,orig,B,-1.8077,-0.1827,-6.3077,611,279
p0335,swap,A,-0.0731,-2.6981,-5.8231,611,263
p0339,orig,A,-0.1031,-2.3531,-5.9781,814,380
p0339,swap,A,-0.2828,-1.4078,-6.6578,814,360
p0344,orig,A,-0.2538,-1.5038,-6.5038,1065,519
p0344,swap,A,-0.2024,-1.7024,-7.2024,1065,499
p0345,orig,A,-0.1820,-1.8070,-6.3070,862,393
p0345,swap,A,-0.3144,-1.3144,-7.0644,862,387
p0346,orig,A,-0.3509,-1.2259,-6.2259,1034,463
p0346,swap,A,-0.1625,-1.9125,-6.2875,1034,450
p0348,orig,A,-0.1619,-1.9119,-6.5369,1185,549
p0348,swap,A,-0.1638,-1.9138,-5.7888,1185,532
