pair_id,order,verdict,lp_A,lp_B,lp_C,prompt_tokens,ms
p0103,orig,B,-3.5309,-0.0309,-6.7809,311,282
p0103,swap,B,-8.2503,-0.0003,-14.6253,311,260
p0104,orig,B,-8.2503,-0.0003,-14.3753,297,261
p0104,swap,B,-2.5795,-0.0795,-7.3295,297,249
p0108,orig,C,-4.9821,-2.3571,-0.1071,808,661
p0108,swap,A,-0.6692,-2.4192,-0.9192,808,675
p0110,orig,B,-6.5082,-0.0082,-5.0082,540,458
p0110,swap,C,-9.0001,-10.7501,-0.0001,540,442
p0111,orig,B,-2.5550,-0.5550,-1.0550,808,671
p0111,swap,C,-6.9140,-3.2890,-0.0390,808,677
p0112,orig,A,-0.0025,-12.5025,-6.0025,395,357
p0112,swap,B,-15.1931,-0.6931,-0.6931,395,334
p0113,orig,A,-0.0003,-8.2503,-12.7503,399,352
p0113,swap,B,-10.5002,-0.0002,-8.7502,399,330
p0114,orig,B,-8.2883,-0.0383,-3.2883,415,354
p0114,swap,A,-0.1270,-2.1270,-10.6270,415,336
p0117,orig,A,-0.0620,-2.8120,-15.6870,332,311
p0117,swap,A,-0.0002,-8.5002,-14.2502,332,291
p0118,orig,B,-2.3502,-0.1002,-11.9752,346,308
p0118,swap,A,-0.0111,-4.5111,-9.7611,346,295
p0120,orig,B,-1.3133,-0.3133,-16.0633,312,270
p0120,swap,A,-0.0032,-5.7532,-12.5032,312,255
p0122,orig,B,-7.7019,-0.2019,-1.7019,319,271
p0122,swap,A,-0.0978,-3.3478,-2.8478,319,256
p0123,orig,B,-1.5161,-0.2661,-4.2661,432,368
p0123,swap,B,-5.7533,-0.0033,-9.2533,432,355
p0124,orig,A,-0.4744,-0.9744,-7.9744,350,315
p0124,swap,B,-3.7734,-0.0234,-8.7734,350,298
p0125,orig,B,-1.3589,-0.3589,-3.1089,329,321
p0125,swap,B,-5.6404,-0.3904,-1.1404,329,310
p0126,orig,C,-3.1211,-0.8711,-0.6211,373,333
p0126,swap,B,-2.3531,-0.1031,-5.8531,373,309
p0130,orig,B,-15.7532,-0.0032,-5.7532,445,373
p0130,swap,C,-9.7506,-7.5006,-0.0006,445,376
p0132,orig,A,-0.0006,-13.7506,-7.5006,465,409
p0132,swap,B,-12.0001,-0.0001,-9.2501,465,384
p0133,orig,B,-7.2739,-0.0239,-3.7739,625,528
p0133,swap,B,-4.5405,-0.0405,-3.5405,625,518
p0137,orig,A,-0.0000,-13.0000,-11.7500,862,739
p0137,swap,B,-12.2500,-0.0000,-14.0000,862,722
p0138,orig,A,-0.1967,-2.6967,-2.1967,475,404
p0138,swap,C,-1.3693,-1.1193,-0.8693,475,391
p0142,orig,C,-8.2514,-6.7514,-0.0014,1292,1210
p0142,swap,C,-8.3262,-0.8262,-0.5762,1292,1230
p0143,orig,B,-7.2739,-0.0239,-3.7739,661,582
p0143,swap,B,-4.8214,-0.3214,-1.3214,661,545
p0145,orig,C,-10.5004,-8.0004,-0.0004,1284,1181
p0145,swap,C,-9.1283,-5.7533,-0.0033,1284,1158
p0146,orig,B,-9.5053,-0.0053,-5.2553,962,849
p0146,swap,C,-0.9441,-2.1941,-0.6941,962,843
p0150,orig,B,-9.1549,-0.0299,-3.5299,585,526
p0150,swap,B,-3.0949,-0.0949,-3.0949,585,491
p0152,orig,B,-4.7696,-0.0196,-4.5196,793,689
p0152,swap,B,-4.0410,-0.0410,-3.7910,793,681
p0153,orig,C,-4.5736,-1.3236,-0.3236,587,538
p0153,swap,B,-8.4512,-0.5762,-0.8262,587,509
p0156,orig,C,-2.1329,-5.1329,-0.1329,312,272
p0156,swap,C,-13.9383,-1.3133,-0.3133,312,265
p0158,orig,C,-5.0696,-1.3196,-0.3196,646,549
p0158,swap,C,-4.0290,-4.5290,-0.0290,646,548
p0161,orig,A,-0.0007,-11.2507,-7.2507,411,359
p0161,swap,B,-9.5001,-0.0001,-11.5001,411,348
p0168,orig,B,-6.5015,-0.0015,-13.8765,427,379
p0168,swap,A,-0.0031,-6.2531,-6.7531,427,350
p0170,orig,C,-6.5196,-4.0196,-0.0196,632,544
p0170,swap,B,-6.7523,-0.0023,-6.7523,632,550
p0171,orig,C,-3.8338,-2.8338,-0.0838,583,550
p0171,swap,B,-5.8797,-0.1297,-2.1297,583,529
p0174,orig,C,-2.8835,-0.8835,-0.6335,590,531
p0174,swap,C,-8.7643,-4.2643,-0.0143,590,509
p0178,orig,B,-6.5647,-0.3147,-1.3147,499,415
p0178,swap,A,-0.0072,-5.5072,-5.7572,499,406
p0182,orig,B,-7.7511,-0.0011,-7.2511,851,738
p0182,swap,A,-0.3162,-1.3162,-5.8162,851,733
p0186,orig,B,-10.0182,-0.0182,-4.0182,691,601
p0186,swap,A,-0.7640,-1.7640,-1.0140,691,587
p0187,orig,B,-11.0015,-0.0015,-6.5015,707,626
p0187,swap,B,-4.0200,-0.0200,-6.2700,707,616
p0188,orig,C,-4.3391,-0.8391,-0.5891,789,702
p0188,swap,B,-6.2544,-0.0044,-6.0044,789,702
p0189,orig,B,-10.0002,-0.0002,-8.5002,965,907
p0189,swap,C,-1.9644,-1.4644,-0.4644,965,896
p0190,orig,B,-9.2502,-0.0002,-9.5002,940,862
p0190,swap,B,-4.2693,-0.0193,-5.2693,940,855
p0191,orig,C,-3.1239,-2.6239,-0.1239,1459,1489
p0191,swap,B,-11.6269,-0.0019,-6.2519,1459,1640
p0192,orig,B,-7.2574,-0.0074,-5.0074,1034,1042
p0192,swap,B,-6.7552,-0.0052,-5.5052,1034,966
p0193,orig,C,-6.5634,-2.8134,-0.0634,1553,1565
p0193,swap,B,-11.7986,-0.0486,-3.0486,1553,1742
p0194,orig,B,-9.9515,-0.2015,-1.7015,767,769
p0194,swap,A,-0.0020,-9.6270,-6.2520,767,701
p0195,orig,A,-0.0003,-9.0003,-8.5003,896,816
p0195,swap,B,-8.0023,-0.1273,-2.1273,896,809
p0196,orig,B,-4.5340,-0.0340,-3.7840,772,735
p0196,swap,B,-11.1254,-0.0004,-8.0004,772,720
p0203,orig,C,-1.8882,-1.1382,-0.6382,1058,1005
p0203,swap,B,-12.0009,-0.0009,-7.0009,1058,1007
p0205,orig,B,-9.0001,-0.0001,-11.7501,652,621
p0205,swap,B,-3.0849,-0.0849,-3.3349,652,599
p0208,orig,C,-11.7500,-12.3750,-0.0000,959,876
p0208,swap,B,-13.6259,-0.0009,-7.0009,959,873
p0209,orig,C,-12.7500,-14.3750,-0.0000,946,877
p0209,swap,B,-12.7500,-0.0000,-10.5000,946,868
p0214,orig,B,-7.0016,-0.0016,-7.2516,1023,954
p0214,swap,B,-3.3847,-0.1347,-2.3847,1023,941
p0215,orig,C,-9.5068,-5.0068,-0.0068,592,559
p0215,swap,C,-10.0003,-8.2503,-0.0003,592,520
p0219,orig,C,-4.2386,-0.9886,-0.4886,584,524
p0219,swap,C,-6.6316,-5.2566,-0.0066,584,507
p0221,orig,A,-0.5839,-4.8339,-0.8339,485,417
p0221,swap,B,-8.2735,-0.0235,-3.7735,485,408
p0223,orig,C,-6.0206,-4.0206,-0.0206,1427,1385
p0223,swap,B,-8.5761,-0.5761,-0.8261,1427,1444
p0226,orig,C,-4.3420,-2.5920,-0.0920,779,735
p0226,swap,C,-6.5047,-5.7547,-0.0047,779,686
p0228,orig,B,-11.5142,-0.0142,-4.2642,522,466
p0228,swap,A,-0.0001,-10.7501,-10.0001,522,445
p0229,orig,A,-0.1315,-2.1315,-5.3815,533,457
p0229,swap,A,-0.7023,-0.7023,-4.7023,533,454
p0232,orig,B,-4.0182,-0.0182,-9.5182,700,613
p0232,swap,B,-3.5912,-0.3412,-1.3412,700,606
p0233,orig,B,-4.0182,-0.0182,-9.5182,700,610
p0233,swap,B,-3.5912,-0.3412,-1.3412,700,612
p0240,orig,C,-1.3138,-7.5638,-0.3138,584,526
p0240,swap,C,-2.5793,-7.8293,-0.0793,584,520
p0244,orig,C,-5.2848,-3.5348,-0.0348,808,702
p0244,swap,B,-5.7048,-0.2048,-1.7048,808,713
p0247,orig,C,-10.2501,-9.5001,-0.0001,1251,1194
p0247,swap,C,-7.4522,-1.7022,-0.2022,1251,1243
p0248,orig,C,-6.7514,-9.0014,-0.0014,1384,1515
p0248,swap,B,-9.5001,-0.0001,-10.3751,1384,1346
p0249,orig,C,-8.5003,-9.2503,-0.0003,1295,1234
p0249,swap,B,-3.6275,-0.1275,-2.3775,1295,1232
p0250,orig,B,-8.3504,-0.1004,-2.3504,974,859
p0250,swap,A,-0.4119,-1.6619,-1.9119,974,835
p0253,orig,C,-10.0001,-11.3751,-0.0001,1304,1143
p0253,swap,B,-7.0010,-0.0010,-9.3760,1304,1304
p0259,orig,B,-6.5016,-0.0016,-9.0016,848,833
p0259,swap,B,-0.8289,-0.5789,-5.8289,848,790
p0276,orig,B,-5.0067,-0.0067,-11.0067,776,695
p0276,swap,A,-0.0011,-7.2511,-7.7511,776,660
p0277,orig,C,-6.5027,-6.7527,-0.0027,1368,1204
p0277,swap,B,-6.7744,-0.0244,-3.7744,1368,1284
p0278,orig,B,-1.9223,-0.1723,-4.4223,851,755
p0278,swap,A,-0.2130,-1.7130,-4.4630,851,690
p0281,orig,C,-1.9633,-2.9633,-0.2133,1251,1635
p0281,swap,B,-11.9236,-0.0486,-3.0486,1251,1461
p0284,orig,C,-6.0111,-4.7611,-0.0111,1492,1877
p0284,swap,C,-11.7014,-1.7014,-0.2014,1492,1663
p0285,orig,B,-2.0193,-0.2693,-2.2693,1044,1129
p0285,swap,B,-2.4218,-0.1718,-2.6718,1044,1060
p0286,orig,C,-12.4509,-0.8259,-0.5759,1531,1641
p0286,swap,C,-3.6532,-2.1532,-0.1532,1531,1637
p0295,orig,C,-11.6251,-9.8751,-0.0001,1409,1586
p0295,swap,C,-12.3762,-6.7512,-0.0012,1409,1631
p0296,orig,C,-11.8751,-9.2501,-0.0001,1598,1998
p0296,swap,B,-10.9752,-0.1002,-2.3502,1598,1768
p0300,orig,C,-6.2521,-9.0021,-0.0021,570,664
p0300,swap,C,-11.2541,-5.5041,-0.0041,570,569
p0302,orig,A,-0.0536,-3.0536,-5.3036,720,717
p0302,swap,B,-8.2504,-0.0004,-9.0004,720,720
p0304,orig,B,-8.5003,-0.0003,-9.0003,774,808
p0304,swap,A,-0.0039,-7.2539,-5.7539,774,777
p0305,orig,C,-16.1252,-8.5002,-0.0002,1560,1731
p0305,swap,C,-12.5633,-1.3133,-0.3133,1560,2273
p0306,orig,C,-10.8861,-4.5111,-0.0111,1648,1850
p0306,swap,C,-16.5004,-7.8754,-0.0004,1648,1780
p0314,orig,B,-5.2662,-0.0162,-4.5162,1329,1423
p0314,swap,B,-1.3412,-0.3412,-3.5912,1329,1392
p0318,orig,C,-9.9753,-2.3503,-0.1003,1391,1466
p0318,swap,B,-9.7619,-0.3869,-1.1369,1391,1471
p0319,orig,B,-5.2848,-0.0348,-3.5348,1751,2070
p0319,swap,C,-4.5862,-0.8362,-0.5862,1751,1975
p0323,orig,B,-9.2502,-0.0002,-9.0002,748,800
p0323,swap,C,-7.2548,-5.5048,-0.0048,748,759
p0324,orig,B,-3.1211,-0.6211,-0.8711,907,971
p0324,swap,B,-5.0851,-0.0851,-2.5851,907,1003
p0326,orig,B,-7.0012,-0.0012,-8.0012,793,820
p0326,swap,C,-1.9257,-4.1757,-0.1757,793,802
p0328,orig,A,-0.1698,-2.1698,-3.1698,857,894
p0328,swap,B,-3.2931,-0.0431,-5.2931,857,885
p0332,orig,C,-4.2666,-6.0166,-0.0166,655,613
p0332,swap,B,-8.0028,-0.0028,-6.0028,655,560
p0333,orig,C,-2.8138,-6.3138,-0.0638,602,528
p0333,swap,C,-5.7551,-1.5051,-0.2551,602,537
p0334,orig,C,-2.8478,-3.3478,-0.0978,644,992
p0334,swap,A,-0.4329,-2.1829,-1.4329,644,697
p0335,orig,C,-7.7545,-5.5045,-0.0045,611,751
p0335,swap,C,-2.8143,-6.0643,-0.0643,611,616
p0339,orig,C,-1.2060,-2.7060,-0.4560,814,732
p0339,swap,B,-1.6803,-0.6803,-1.1803,814,686
p0344,orig,C,-4.5130,-1.5130,-0.2630,1065,955
p0344,swap,C,-1.1803,-1.6803,-0.6803,1065,940
p0345,orig,C,-1.5638,-2.8138,-0.3138,862,750
p0345,swap,B,-1.6020,-0.3520,-2.3520,862,720
p0346,orig,B,-6.0166,-0.0166,-4.2666,1034,885
p0346,swap,C,-3.5769,-3.0769,-0.0769,1034,870
p0348,orig,C,-3.7840,-4.5340,-0.0340,1185,1022
p0348,swap,C,-8.2503,-9.5003,-0.0003,1185,1031
