pair_id,order,verdict,lp_A,lp_B,lp_C,prompt_tokens,ms
p0137,swap,A,-0.5785,-0.8285,-6.3285,784,458
p0138,orig,A,-0.0555,-2.9305,-7.8055,397,314
p0138,swap,B,-1.4079,-0.2829,-6.7829,397,276
p0142,orig,A,-0.3979,-1.1479,-4.5229,1214,992
p0142,swap,A,-0.3070,-1.4320,-3.6820,1214,698
p0143,orig,B,-2.8129,-0.0629,-8.5629,583,323
p0143,swap,A,-0.5246,-0.8996,-7.2746,583,286
p0145,orig,A,-0.5892,-0.8392,-4.3392,1206,601
p0145,swap,A,-0.1995,-1.8245,-3.9495,1206,581
p0146,orig,A,-0.4764,-0.9764,-6.2264,884,434
p0146,swap,A,-0.1504,-2.0254,-4.9004,884,416
p0150,orig,B,-3.6526,-0.0276,-7.1526,507,249
p0150,swap,A,-0.0210,-4.2710,-5.0210,507,229
p0152,orig,A,-0.1339,-2.1339,-5.0089,715,355
p0152,swap,A,-0.2930,-1.4180,-4.5430,715,336
p0153,orig,A,-0.0189,-4.2689,-5.3939,509,246
p0153,swap,B,-3.5310,-0.0310,-7.0310,509,228
p0156,orig,B,-1.1638,-0.4138,-3.6638,234,127
p0156,swap,A,-0.4030,-1.1530,-4.1530,234,119
p0158,orig,A,-0.5789,-0.8289,-6.3289,568,277
p0158,swap,A,-0.0747,-2.6997,-5.4497,568,257
p0161,orig,B,-5.0069,-0.0069,-9.7569,333,189
p0161,swap,A,-0.1141,-2.2391,-8.6141,333,169
p0168,orig,A,-0.0420,-3.5420,-4.4170,349,190
p0168,swap,B,-1.9151,-0.1651,-5.4151,349,169
p0170,orig,A,-0.4813,-0.9813,-4.9813,554,263
p0170,swap,A,-0.1382,-2.1382,-4.5132,554,248
p0171,orig,B,-2.2413,-0.1163,-8.9913,505,240
p0171,swap,A,-0.2271,-1.6021,-8.4771,505,225
p0174,orig,A,-0.1447,-2.0197,-6.7697,512,266
p0174,swap,A,-0.2530,-1.5030,-8.1280,512,258
p0178,orig,A,-0.0274,-3.7774,-5.5274,421,261
p0178,swap,A,-0.0378,-3.4128,-5.5378,421,238
p0182,orig,A,-0.1158,-2.2408,-5.9908,773,463
p0182,swap,A,-0.1183,-2.2433,-5.3683,773,452
p0186,orig,A,-0.6947,-0.6947,-7.1947,613,387
p0186,swap,A,-0.0212,-4.0212,-6.0212,613,360
p0187,orig,A,-0.2553,-1.5053,-6.2553,629,388
p0187,swap,A,-0.0415,-3.2915,-5.7915,629,365
p0188,orig,A,-0.0968,-2.4718,-4.9718,711,442
p0188,swap,A,-0.1313,-2.1313,-5.7563,711,413
p0189,orig,B,-0.8275,-0.5775,-7.0775,887,526
p0189,swap,A,-0.1174,-2.2424,-5.6174,887,502
p0190,orig,A,-0.1644,-1.9144,-5.7894,862,510
p0190,swap,A,-0.1671,-1.9171,-5.0421,862,485
p0191,orig,A,-0.0257,-4.0257,-4.9007,1381,852
p0191,swap,B,-1.7038,-0.2038,-6.2038,1381,831
p0192,orig,A,-0.1039,-2.3539,-5.9789,956,594
p0192,swap,A,-0.1065,-2.3565,-5.1065,956,571
p0193,orig,A,-0.0347,-3.6597,-4.7847,1475,987
p0193,swap,B,-0.8317,-0.5817,-5.2067,1475,908
p0194,orig,B,-1.9117,-0.1617,-7.0367,689,410
p0194,swap,A,-0.0474,-3.4224,-4.2974,689,401
p0195,orig,A,-0.0666,-2.8166,-5.4416,818,484
p0195,swap,A,-0.4778,-0.9778,-5.9778,818,458
p0196,orig,A,-0.0330,-3.5330,-5.7830,694,414
p0196,swap,B,-2.0188,-0.1438,-7.6438,694,393
p0203,orig,A,-0.3528,-1.2278,-5.6028,980,601
p0203,swap,A,-0.1179,-2.2429,-5.3679,980,571
p0205,orig,A,-0.1278,-2.1278,-7.5028,574,352
p0205,swap,A,-0.0279,-3.6529,-6.5279,574,327
p0208,orig,A,-0.1294,-2.1294,-6.1294,881,536
p0208,swap,A,-0.0588,-2.9338,-5.6838,881,513
p0209,orig,A,-0.0404,-3.2904,-6.1654,868,532
p0209,swap,A,-0.0716,-2.6966,-6.5716,868,510
p0214,orig,A,-0.0798,-2.5798,-7.4548,945,577
p0214,swap,A,-0.0642,-2.8142,-6.3142,945,556
p0215,orig,A,-0.4808,-0.9808,-5.1058,514,340
p0215,swap,A,-0.0376,-3.5376,-4.9126,514,312
p0219,orig,A,-0.1678,-2.0428,-4.2928,506,305
p0219,swap,A,-0.4456,-1.0706,-4.5706,506,287
p0221,orig,A,-0.5441,-0.9191,-3.9191,407,291
p0221,swap,A,-0.4413,-1.0663,-4.4413,407,252
p0223,orig,A,-0.0905,-2.5905,-4.4655,1349,835
p0223,swap,A,-0.1301,-2.6301,-3.0051,1349,835
p0226,orig,A,-0.1262,-2.2512,-4.6262,701,437
p0226,swap,A,-0.2416,-1.6166,-4.4916,701,413
p0228,orig,B,-1.7084,-0.2084,-5.0834,444,291
p0228,swap,A,-0.5572,-0.9322,-3.4322,444,271
p0229,orig,B,-1.5027,-0.2527,-9.1277,455,318
p0229,swap,B,-1.8056,-0.1806,-9.4306,455,285
p0232,orig,A,-0.5826,-0.8326,-6.2076,622,405
p0232,swap,A,-0.1690,-1.9190,-4.9190,622,355
p0233,orig,A,-0.5826,-0.8326,-6.2076,622,363
p0233,swap,A,-0.1690,-1.9190,-4.9190,622,358
p0240,orig,A,-0.0740,-2.8240,-5.1990,506,292
p0240,swap,A,-0.1084,-2.3584,-5.1084,506,286
p0244,orig,A,-0.1207,-2.2457,-5.3707,730,436
p0244,swap,B,-1.5077,-0.2577,-5.8827,730,429
p0247,orig,A,-0.1783,-1.9283,-4.0533,1173,755
p0247,swap,A,-0.4585,-1.0835,-3.5835,1173,718
p0248,orig,A,-0.0775,-2.7025,-4.9525,1306,840
p0248,swap,B,-0.8375,-0.5875,-4.5875,1306,809
p0249,orig,A,-0.0794,-2.7044,-4.7044,1217,804
p0249,swap,B,-0.7911,-0.6661,-3.5411,1217,877
p0250,orig,A,-0.3578,-1.2328,-4.7328,896,703
p0250,swap,A,-0.2683,-1.5183,-4.1433,896,633
p0253,orig,B,-0.7637,-0.6387,-5.3887,1226,897
p0253,swap,A,-0.0420,-3.5420,-4.4170,1226,870
p0259,orig,B,-2.9316,-0.0566,-7.9316,770,814
p0259,swap,A,-0.0240,-3.7740,-7.5240,770,521
p0276,orig,A,-0.3173,-1.3173,-5.6923,698,801
p0276,swap,A,-0.2059,-1.7059,-5.5809,698,494
p0277,orig,A,-0.0980,-2.4730,-4.7230,1290,1008
p0277,swap,B,-1.6054,-0.2304,-5.4804,1290,813
p0278,orig,A,-0.3166,-1.3166,-6.1916,773,472
p0278,swap,A,-0.1636,-1.9136,-6.0386,773,450
p0281,orig,A,-0.0921,-2.5921,-4.3421,1173,691
p0281,swap,A,-0.2334,-1.6084,-4.8584,1173,685
p0284,orig,A,-0.0246,-4.1496,-4.7746,1414,878
p0284,swap,A,-0.7005,-0.7005,-4.9505,1414,864
p0285,orig,A,-0.1340,-2.1340,-5.0090,966,600
p0285,swap,A,-0.1303,-2.1303,-5.7553,966,581
p0286,orig,B,-0.9805,-0.4805,-5.1055,1453,841
p0286,swap,A,-0.0196,-4.5196,-4.7696,1453,822
p0295,orig,A,-0.0348,-3.6598,-4.7848,1331,756
p0295,swap,B,-1.6031,-0.2281,-6.2281,1331,741
p0296,orig,A,-0.0272,-3.9022,-5.0272,1520,864
p0296,swap,B,-2.4653,-0.0903,-6.9653,1520,884
p0300,orig,A,-0.2731,-1.5231,-3.8981,492,289
p0300,swap,B,-2.0198,-0.1448,-6.6448,492,264
p0302,orig,A,-0.1032,-2.3532,-5.9782,642,367
p0302,swap,B,-0.8280,-0.5780,-6.5780,642,334
p0304,orig,B,-2.9328,-0.0578,-7.3078,696,363
p0304,swap,A,-0.0120,-4.5120,-7.1370,696,337
p0305,orig,A,-0.0292,-3.7792,-5.1542,1482,828
p0305,swap,B,-2.4653,-0.0903,-6.9653,1482,841
p0306,orig,B,-2.0188,-0.1438,-7.1438,1570,945
p0306,swap,A,-0.0133,-4.7633,-5.3883,1570,920
p0314,orig,A,-0.1299,-2.1299,-5.8799,1251,709
p0314,swap,A,-0.0911,-2.4661,-6.2161,1251,666
p0318,orig,A,-0.0539,-3.0539,-5.3039,1313,706
p0318,swap,B,-1.9114,-0.1614,-7.6614,1313,685
p0319,orig,A,-0.2288,-1.6038,-5.9788,1673,925
p0319,swap,A,-0.0421,-3.2921,-5.5421,1673,925
p0323,orig,B,-1.0591,-0.4341,-5.8091,670,363
p0323,swap,A,-0.0605,-2.9355,-5.3105,670,345
p0324,orig,A,-0.1167,-2.2417,-5.6167,829,433
p0324,swap,A,-0.2037,-1.7037,-6.2037,829,408
p0326,orig,B,-1.0580,-0.4330,-5.8080,715,360
p0326,swap,A,-0.1136,-2.3636,-4.3636,715,348
p0328,orig,A,-0.1838,-1.8088,-5.8088,779,394
p0328,swap,A,-0.1320,-2.1320,-5.5070,779,371
p0332,orig,A,-0.1314,-2.2564,-4.0064,577,302
p0332,swap,B,-1.7044,-0.2044,-5.9544,577,280
p0333,orig,A,-0.0971,-2.4721,-4.8471,524,263
p0333,swap,A,-0.4788,-0.9788,-5.4788,524,246
p0334,orig,B,-0.7621,-0.6371,-5.7621,566,272
p0334,swap,A,-0.0824,-2.5824,-5.7074,566,257
p0335,orig,B,-2.0206,-0.1456,-6.2706,533,263
p0335,swap,A,-0.0671,-2.8171,-5.3171,533,247
p0339,orig,A,-0.0404,-3.2904,-6.1654,736,345
p0339,swap,A,-0.1450,-2.0200,-6.2700,736,332
p0344,orig,A,-0.2548,-1.5048,-6.1298,987,476
p0344,swap,A,-0.1280,-2.1280,-7.1280,987,475
p0345,orig,A,-0.1300,-2.1300,-6.0050,784,547
p0345,swap,A,-0.2829,-1.4079,-6.6579,784,418
p0346,orig,A,-0.3524,-1.2274,-5.7274,956,916
p0346,swap,A,-0.1169,-2.2419,-5.6169,956,493
p0348,orig,A,-0.1816,-1.8066,-6.4316,1107,866
p0348,swap,A,-0.1837,-1.8087,-5.6837,1107,725
